platform	reads_per_run_M	read_length	run_time_d	yield_gb	rate_gb_per_dat	reagent_cost	cost_per_gb	hg_30x_cost	cost_per_machine	install_base	max_yield_per_day	max_gb_per_day	hg_per_year	kit
ILMN iSeq 100 1fcell	4	150*	0.79	1.2	0.79	650	521	52100	19.9	1400	1.56	2184	6	ILMN iSeq 100 1fcell
ILMN MiniSeq 1fcell	25	150*	1.00	7.5	7.5	1750	225	22500	65	1700	7.5	12750	27	ILMN MiniSeq 1fcell
ILMN MiSeq 1fcell	25	300*	2.33	15	7.5	1750	108	10800	99	8400	7.5	63000	27	ILMN MiSeq 1fcell
ILMN NextSeq 550 1fcell	400	150*	1.25	120	100	5125	41	4100	250	4000	100	400,000	365	ILMN NextSeq 550 1fcell
ILMN HiSeq 2500 RR 2fcells	600	100*	1.13	300	106.6	13920	46	4600	740	0	106.6	0	389	ILMN HiSeq 2500 RR 2fcells
ILMN HiSeq 2500 V3 2fcells	3000	100*	11.00	600	55	35300	59	5900	690	0	55	0	201	ILMN HiSeq 2500 V3 2fcells
ILMN HiSeq 2500 V4 2fcells	4000	125*	2.50	1000	166	33800	38	3800	690	1000	166	166,000	606	ILMN HiSeq 2500 V4 2fcells
ILMN HiSeq 4000 2fcells	5000	150*	3.50	1500	400	34450	25	2500	900	400	400	160,000	1460	ILMN HiSeq 4000 2fcells
ILMN NextSeq 1000 P2 1fcell	400	PE150*	2.00	120	60	3800	31.67	3166.67	225	NA	150	0	548	ILMN NextSeq 1000 P2 1fcell
ILMN NextSeq 2000 P3 1fcell	1200	PE150*	2.00	360	150	6000	16.5	1650	335	1175	150	176,250	548	ILMN NextSeq 2000 P3 1fcell
ILMN HiSeq X 2fcells	6000	150*	3.00	1800	600	28440	8	800	1000	400	600	240,000	2190	ILMN HiSeq X 2fcells
ILMN NovaSeq SP 2fcells	1600	250*	1.58	800	505.3	11700	10.5	1050	985	0	600	0	2190	ILMN NovaSeq SP 2fcells
ILMN NovaSeq S1 2fcells	3200	150*	1.04	1000	600	14000	10.5	1050	985	0	600	0	2190	ILMN NovaSeq S1 2fcells
ILMN NovaSeq S2 2fcells	6600	150*	1.50	2000	1333	32400	7.7	770	985	0	0	0	0	ILMN NovaSeq S2 2fcells
ILMN NovaSeq S4 v1.5 2fcells	20000	150*	1.83	6000	3600	28800	4.80	480	985	1480	3600	5,328,000	13140	ILMN NovaSeq S4 v1.5 2fcells
ElemBio AVITI 2022 2fcell 2x150bp	1600	PE150*	2.00	800	400	3360	5-7	500-700	249-289	1	200	200	730	ElemBio AVITI 2022 2fcell 2x150bp
ElemBio AVITI 2022 2fcell 2x75bp (Q4 2022)	1600	PE75*	1.00	240	240	1600	NA	NA	249-289	1	200	200	730	ElemBio AVITI 2022 2fcell 2x75bp
Singular Genomics G4 F2 4fcell Standard	600-650	PE150*	0.79	180-200	253	NA	16-45	1600-4500	350	NA	NA	NA	#VALUE!	Singular Genomics G4 F2 4fcell Standard
Singular Genomics G4 F2 4fcell Max Read	4000	50	1.00	180-200	200	NA	16-45	NA	350	NA	NA	NA	#VALUE!	Singular Genomics G4 F2 4fcell Max Read
Singular Genomics G4 F3 4fcell (late 2022)	1200-1320	PE150*	0.79	360-400	505	NA	16-45	1600-4500	350	2	505	1,011	1844	Singular Genomics G4 F3 4fcell
Singular Genomics Systems PX (2023)	NA	PE150*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Singular Genomics Systems PX
PACB SBB	NA	PE150*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PACB SBB
PACB 8M Sequel II v2.0 chem 1 flowcell	4	45K-185K**	1.00	30-180	25-650	1300	43.3-7.2	3897-648	350	424	650	275,600	150-2500	PACB 8M Sequel II v2.0 chem 1 flowcell
PACB 64M chip R&D 1 flowcell 2022	32	NA	NA	750-4500	NA	200	7-1	600-100	350	0	16250	0	59313	PACB 64M chip R&D 1 flowcel
ONT Plate Flongle 1fcell=1well (R&D)	NA	500-2000000	3.00	0.5/1	NA	25/50	100-25	NA	NA	0	1	0	4	ONT Plate Flongle 1fcell=1well
ONT SmidgION 1fcell	NA	500-2000000	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	ONT SmidgION 1fcell
ONT Flongle 1fcell 126 channels	NA	500-2000000	0.70	1-2	1.3	90	90-22.5	8100-2700	NA	0	2	0	7	ONT Flongle 1fcell 126 channels
