kit	plot_label	hjust	vjust	offset
ILMN iSeq 100 1fcell	i/Mini/MiSeq	1.5		
ILMN MiniSeq 1fcell	i/Mini/MiSeq	1.5		
ILMN MiSeq 1fcell	i/Mini/MiSeq	1.5		
ILMN NextSeq 550 1fcell				
ILMN HiSeq 2500 RR 2fcells				
ILMN HiSeq 2500 V3 2fcells				
ILMN HiSeq 2500 V4 2fcells				
ILMN HiSeq 4000 2fcells				
ILMN NextSeq 1000 P2 1fcell	NextSeq		1.5	
ILMN NextSeq 2000 P3 1fcell	NextSeq		1.5	
ILMN HiSeq X 2fcells				
ILMN NovaSeq SP 2fcells	NovaSeq		1.5	
ILMN NovaSeq S1 2fcells				
ILMN NovaSeq S2 2fcells				
ILMN NovaSeq S4 v1.5 2fcells	NovaSeq		1.5	
ElemBio AVITI 2022 2fcell 2x150bp	AVITI			
ElemBio AVITI 2022 2fcell 2x75bp				
Singular Genomics G4 F2 4fcell Standard	Singular G4	0.2	1.5	
Singular Genomics G4 F2 4fcell Max Read				
Singular Genomics G4 F3 4fcell				
Singular Genomics Systems PX				
PACB SBB				
PACB 8M Sequel II v2.0 chem 1 flowcell	Sequel IIe			
PACB 64M chip R&D 1 flowcel				
ONT Plate Flongle 1fcell=1well				
ONT SmidgION 1fcell				
ONT Flongle 1fcell 126 channels				
ONT MinION Mk 1B 1fcell 512 channels	MinION			
ONT GridION X5 5fcells	GridION			
ONT P2 Solo 1fcell				
ONT P2  1fcell				
ONT PromethION 24fcells 3000 channels	PromethION		1.5	
ONT PromethION 48fcells 3000 channels	PromethION		1.5	
TMO Ion S5 510 1chip	TMO Ion	0.3		
TMO Ion S5 520 1chip				
TMO Ion S5 530 1chip				
TMO Ion Genexus GX5 1chip				
TMO Ion S5 540 1chip				
TMO Ion S5 550 1chip	TMO Ion			
MGI DNBSEQ-T10 4RS 8fcells				
MGI DNBSEQ-T7 4fcells	DNBSEQ-T7	0	1.8	
MGI DNBSEQ-G400C  CoolMPS 2fcells	DNBSEQ-G400		-1	
MGI DNBSEQ-G400RS  HotMPS 2fcells	DNBSEQ-G400		-1	
DNBSEQ-G50 FCL 1fcell				
DNBSEQ-G50 FCS 1fcell	DNBSEQ-G50		-1.2	
DNBSEQ-E5 1fcell				
Genapsys 1M Chip	Genapsys		1.5	
Genapsys 16M Chip	Genapsys		1.5	
Genapsys 50M read				
Genapsys 100M read				
Genapsys 500M Chip				
GeneMind Bio GenoLab M				
QitanTech QNome-9604				
Ultima Genomics UG 100 (4g4-flow runs)	Ultima UG100	1		
