kit	company	machine
ILMN iSeq 100 1fcell	Illumina	iSeq
ILMN MiniSeq 1fcell	Illumina	MiniSeq
ILMN MiSeq 1fcell	Illumina	MiSeq
ILMN NextSeq 550 1fcell	Illumina	NextSeq 550
ILMN HiSeq 2500 RR 2fcells	Illumina	HiSeq 2500
ILMN HiSeq 2500 V3 2fcells	Illumina	HiSeq 2500
ILMN HiSeq 2500 V4 2fcells	Illumina	HiSeq 2500
ILMN HiSeq 4000 2fcells	Illumina	HiSeq 4000
ILMN NextSeq 1000 P2 1fcell	Illumina	NextSeq 1000
ILMN NextSeq 2000 P3 1fcell	Illumina	NextSeq 2000
ILMN HiSeq X 2fcells	Illumina	HiSeq X
ILMN NovaSeq SP 2fcells	Illumina	NovaSeq
ILMN NovaSeq S1 2fcells	Illumina	NovaSeq
ILMN NovaSeq S2 2fcells	Illumina	NovaSeq
ILMN NovaSeq S4 v1.5 2fcells	Illumina	NovaSeq
ElemBio AVITI 2022 2fcell 2x150bp	Element	AVITI
ElemBio AVITI 2022 2fcell 2x75bp	Element	AVITI
Singular Genomics G4 F2 4fcell Standard	Singular	Singular G4
Singular Genomics G4 F2 4fcell Max Read	Singular	Singular G4
Singular Genomics G4 F3 4fcell	Singular	Singular G4
Singular Genomics Systems PX	Singular	Singular G4
PACB SBB	PacBIo	SBB
PACB 8M Sequel II v2.0 chem 1 flowcell	PacBIo	Sequel II
PACB 64M chip R&D 1 flowcel	PacBIo	PacBio 64M Chip
ONT Plate Flongle 1fcell=1well	Oxford Nanopore	Flongal
ONT SmidgION 1fcell	Oxford Nanopore	SmidgION
ONT Flongle 1fcell 126 channels	Oxford Nanopore	Flongal
ONT MinION Mk 1B 1fcell 512 channels	Oxford Nanopore	MinION
ONT GridION X5 5fcells	Oxford Nanopore	GridIon
ONT P2 Solo 1fcell	Oxford Nanopore	PromethION P2
ONT P2  1fcell	Oxford Nanopore	PromethION P2
ONT PromethION 24fcells 3000 channels	Oxford Nanopore	PromethION 24
ONT PromethION 48fcells 3000 channels	Oxford Nanopore	PromethION 48
TMO Ion S5 510 1chip	ThermoFisher	Ion S5
TMO Ion S5 520 1chip	ThermoFisher	Ion S5
TMO Ion S5 530 1chip	ThermoFisher	Ion S5
TMO Ion Genexus GX5 1chip	ThermoFisher	Ison Genexus GX5
TMO Ion S5 540 1chip	ThermoFisher	Ion S5
TMO Ion S5 550 1chip	ThermoFisher	Ion S5
MGI DNBSEQ-T10 4RS 8fcells	BGI	T10
MGI DNBSEQ-T7 4fcells	BGI	T7
MGI DNBSEQ-G400C  CoolMPS 2fcells	BGI	G400C
MGI DNBSEQ-G400RS  HotMPS 2fcells	BGI	G400RS
DNBSEQ-G50 FCL 1fcell	BGI	G50
DNBSEQ-G50 FCS 1fcell	BGI	G50
DNBSEQ-E5 1fcell	BGI	E5
Genapsys 1M Chip	Genapsys	Genapsys
Genapsys 16M Chip	Genapsys	Genapsys
Genapsys 50M read	Genapsys	Genapsys
Genapsys 100M read	Genapsys	Genapsys
Genapsys 500M Chip	Genapsys	Genapsys
GeneMind Bio GenoLab M	GeneMind	GenoLab
QitanTech QNome-9604	QitanTech	Qnome
Ultima Genomics UG 100 (4g4-flow runs)	Ultima	UG100
