platform	kit
ILMN iSeq 100 1fcell	ILMN iSeq 100 1fcell
ILMN MiniSeq 1fcell	ILMN MiniSeq 1fcell
ILMN MiSeq 1fcell	ILMN MiSeq 1fcell
ILMN NextSeq 550 1fcell	ILMN NextSeq 550 1fcell
ILMN HiSeq 4000 2fcells	ILMN HiSeq 4000 2fcells
ILMN NextSeq 1000 P1/P2 1fcell	ILMN NextSeq 1000 P1/P2 1fcell
ILMN NextSeq 2000 P3 1fcell	ILMN NextSeq 2000 P3 1fcell
ILMN NextSeq 2000 P4 1fcell (2024)	ILMN NextSeq 2000 P4 1fcell
ILMN NovaSeq SP 2fcells	ILMN NovaSeq SP 2fcells
ILMN NovaSeq S1 2fcells	ILMN NovaSeq S1 2fcells
ILMN NovaSeq S2 2fcells	ILMN NovaSeq S2 2fcells
ILMN NovaSeq S4 v1.5 2fcells	ILMN NovaSeq S4 v1.5 2fcells
ILMN NovaSeq X & X plus 2fcells (Feb 2023)	ILMN NovaSeq X & X plus 2fcells
ElemBio AVITI 2022 2fcell	ElemBio AVITI 2022 2fcell
ElemBio AVITI 2022 2fcell 2x75bp (Q4 2022)	ElemBio AVITI 2022 2fcell 2x75bp
Singular Genomics G4 F2 4fcell Standard	Singular Genomics G4 F2 4fcell Standard
Singular Genomics G4 F2 4fcell Max Read	Singular Genomics G4 F2 4fcell Max Read
Singular Genomics G4 F3 4fcell (late 2022)	Singular Genomics G4 F3 4fcell
Singular Genomics Systems PX (2023)	Singular Genomics Systems PX
PACB 8M Sequel II/IIe v2.0 chem 1 flowcell	PACB 8M Sequel II/IIe v2.0 chem 1 flowcell
PACB SBB (2023H1)	PACB SBB
PACB 64M chip R&D 1 flowcell (2023)	PACB 64M chip R&D 1 flowcell
ONT Flongle 1fcell 126 channels	ONT Flongle 1fcell 126 channels
ONT MinION Mk1b 1fcell 512 channels	ONT MinION Mk1b 1fcell 512 channels
ONT MinION Mk1c 1fcell 512 channels	ONT MinION Mk1c 1fcell 512 channels
ONT GridION X5 5fcells	ONT GridION X5 5fcells
ONT P2 Solo 1fcell	ONT P2 Solo 1fcell
ONT P2  1fcell	ONT P2 1fcell
"ONT PromethION 24fcells 10,700 channels"	"ONT PromethION 24fcells 10,700 channels"
"ONT PromethION 48fcells 10,700 channels"	"ONT PromethION 48fcells 10,700 channels"
TMO Ion S5 510 1chip	TMO Ion S5 510 1chip
TMO Ion S5 520 1chip	TMO Ion S5 520 1chip
TMO Ion S5 530 1chip	TMO Ion S5 530 1chip
TMO Ion Genexus GX5 1chip	TMO Ion Genexus GX5 1chip
TMO Ion S5 540 1chip	TMO Ion S5 540 1chip
TMO Ion S5 550 1chip	TMO Ion S5 550 1chip
MGI DNBSEQ-T10×4RS 8fcells	MGI DNBSEQ-T10 4RS 8fcells
MGI DNBSEQ-T7 4fcells	MGI DNBSEQ-T7 4fcells
MGI DNBSEQ-G400C  CoolMPS 2fcells	MGI DNBSEQ-G400C  CoolMPS 2fcells
MGI DNBSEQ-G400RS  HotMPS 2fcells	MGI DNBSEQ-G400RS  HotMPS 2fcells
DNBSEQ-G99 2fcells	DNBSEQ-G99 2fcells
DNBSEQ-G50 FCL 1fcell	DNBSEQ-G50 FCL 1fcell
DNBSEQ-G50 FCS 1fcell	DNBSEQ-G50 FCS 1fcell
DNBSEQ-E5 1fcell	DNBSEQ-E5 1fcell
Genapsys 1M Chip	Genapsys 1M Chip
Genapsys 16M Chip	Genapsys 16M Chip
Genapsys 50M read (144M 2023?)	Genapsys 50M read
Genapsys 100M read (144M 2024?)	Genapsys 100M read
Genapsys 500M+ Chip (1B+ 2025?)	Genapsys 500M Chip
GeneMind GenoCare 1600 (2022)	GeneMind GenoCare 1600 (2022)
GeneMind Bio GenoLab M (2021)	GeneMind Bio GenoLab M
QitanTech QNome-3841	QitanTech QNome-3841
QitanTech QNome-3841hex	QitanTech QNome-3841hex
Ultima Genomics UG 100 (4g4-flow runs)	Ultima Genomics UG 100 (4g4-flow runs)
