platform	reads_per_run_M	read_length	run_time_d	yield_gb_low	yield_gb_high	rate_gb_per_da	reagent_cost	cost_per_gb_max	cost_per_gb_min	hg_30x_cost	cost_per_machine	install_base	max_yield_per_day	max_gb_per_day	hg_per_year	kit
ILMN iSeq 100 1fcell	4	150*	0.79	1.2	1.2	0.79	582	485.00	485.00	48500	19.9	1400	1.56	2184	6	ILMN iSeq 100 1fcell
ILMN MiniSeq 1fcell	25	150*	1.00	1.65	7.5	7.5	1750	534.12	233.33	23333	65	1700	7.5	12750	27	ILMN MiniSeq 1fcell
ILMN MiSeq 1fcell	25	300*	2.33	0.3	15	7.5	1750	1122.98	117.97	11797	99	8400	7.5	63000	27	ILMN MiSeq 1fcell
ILMN NextSeq 550 1fcell	400	150*	1.25	25	120	100	5256	64.13	43.80	4380	250	4000	100	400,000	365	ILMN NextSeq 550 1fcell
ILMN HiSeq 4000 2fcells	5000	150*	3.50	NA	1500	400	34450	NA	25.00	2500	900	400	400	160,000	1460	ILMN HiSeq 4000 2fcells
ILMN NextSeq 1000 P1/P2 1fcell	400	PE150*	2.00	30	120	60	3800	60.90	30.61	3061.00	225	NA	150	0	548	ILMN NextSeq 1000 P1/P2 1fcell
ILMN NextSeq 2000 P3 1fcell	1200	PE150*	2.00	60	360	150	6000	38.92	17.30	1730	335	1175	150	176,250	548	ILMN NextSeq 2000 P3 1fcell
ILMN NextSeq 2000 P4 1fcell (2024)	NA	PE150*	NA	NA	500	NA	NA	NA	NA	NA	335	1	150	150	548	ILMN NextSeq 2000 P4 1fcell
ILMN NovaSeq SP 2fcells	1600	250*	1.58	65	800	505.3	8720	27.25	10.90	1090	985	0	600	0	2190	ILMN NovaSeq SP 2fcells
ILMN NovaSeq S1 2fcells	3200	150*	1.04	134	1000	600	10898	23.93	10.90	1090	985	0	600	0	2190	ILMN NovaSeq S1 2fcells
ILMN NovaSeq S2 2fcells	6600	150*	1.50	333	2000	1333	19928	18.04	7.97	797	985	0	0	0	0	ILMN NovaSeq S2 2fcells
ILMN NovaSeq S4 v1.5 2fcells	20000	150*	1.83	280	6000	3600	29020	31.13	4.84	484	985	1485	3600	5,346,000	13140	ILMN NovaSeq S4 v1.5 2fcells
ILMN NovaSeq X & X plus 2fcells (Feb 2023)	52000	150*	2.00	1000	16000	8000	30000	NA	2.00	200	1300	1	3600	3,600	13140	ILMN NovaSeq X & X plus 2fcells
ElemBio AVITI 2022 2fcell	2000	PE150*	2.00	80	600	300	3360	5.60	5.00	560-700	289	1	300	300	1095	ElemBio AVITI 2022 2fcell
ElemBio AVITI 2022 2fcell 2x75bp (Q4 2022)	1600	PE75*	1.00	240	300	300	2160	7.20	NA	NA	289	1	150	150	548	ElemBio AVITI 2022 2fcell 2x75bp
