Platform	Reads x run max: (M) 	Read length max: (paired-end*, Half of data in reads**)	Run time max: (d) 	Yield low: (Gb) 	Yield high: (Gb) 	Rate max: (Gb/d) 	Reagents max: ($)	Price per Gbp max: ($)	Price per Gbp min: ($)	hg-30x min: ($)	Machine: ($ K)	Install base	Availability	Max theoretical output per day (Gb)	Max total output per day (Gb) from current installbase	Number of Human 30X WGS per year	#	#REF!				#	Platform	length	yield
ILMN iSeq 100 1fcell	4	150*	0.79	1.2	1.2	0.79	582	485.00	485.00	48500	19.9	1400	worldwide	1.56	2184	6	--					NA	ILMN iSeq 100 1fcell	150*	1.2
ILMN MiniSeq 1fcell	25	150*	1.00	1.65	7.5	7.5	1750	534.12	233.33	23333	65	1700	worldwide	7.5	12750	27	NA					NA	ILMN MiniSeq 1fcell	150*	7.5
ILMN MiSeq 1fcell	25	300*	2.33	0.3	15	7.5	1750	1122.98	117.97	11797	99	8400	worldwide	7.5	63000	27	NA					NA	ILMN MiSeq 1fcell	300*	15
ILMN NextSeq 550 1fcell	400	150*	1.25	25	120	100	5256	64.13	43.80	4380	250	4000	worldwide	100	400,000	365	NA					NA	ILMN NextSeq 550 1fcell	150*	120
ILMN HiSeq 4000 2fcells	5000	150*	3.50		1500	400	34450		25.00	2500	900	400	worldwide	400	160,000	1460	NA					NA	ILMN HiSeq 4000 2fcells	150*	1500
ILMN NextSeq 1000 P1/P2 1fcell	400	PE150*	2.00	30	120	60	3800	60.90	30.61	3061.00	225		worldwide	150	0	548		ILMN NovaSeq S4 v1.5 2fcells	1100	3600	3960000				
ILMN NextSeq 2000 P3 1fcell	1200	PE150*	2.00	60	360	150	6000	38.92	17.30	1730	335	1175	worldwide	150	176,250	548									
ILMN NextSeq 2000 P4 1fcell (2024)	NA	PE150*	NA	NA	500	NA	NA	NA	NA	NA	335	1	worldwide	150	150	548									
ILMN NovaSeq SP 2fcells	1600	250*	1.58	65	800	505.3	8720	27.25	10.90	1090	985	0	worldwide	600	0	2190									
ILMN NovaSeq S1 2fcells	3200	150*	1.04	134	1000	600	10898	23.93	10.90	1090	985	0	worldwide	600	0	2190	NA					NA	ILMN NovaSeq S1 2fcells	150*	1000
ILMN NovaSeq S2 2fcells	6600	150*	1.50	333	2000	1333	19928	18.04	7.97	797	985	0	worldwide	0	0	0	NA					NA	ILMN NovaSeq S2 2fcells	150*	2000
ILMN NovaSeq S4 v1.5 2fcells	20000	150*	1.83	280	6000	3600	29020	31.13	4.84	484	985	1485	worldwide	3600	5,346,000	13140	NA					NA	ILMN NovaSeq S4 v1.5 2fcells	150*	6000
ILMN NovaSeq X & X plus 2fcells (Feb 2023)	52000	150*	2.00	1000	16000	8000	30000	NA	2.00	200	1300	1	worldwide	3600	3,600	13140	NA					NA	ILMN NovaSeq X & X plus 2fcells (Feb 2023)	150*	16000
ElemBio AVITI 2022 2fcell	2000	PE150*	2.00	80	600	300	3360	7.00	5.60	560-700	289	1	US/inquire	300	300	1095									
ElemBio AVITI 2022 2fcell 2x75bp (Q4 2022)	1600	PE75*	1.00	240	300	300	2160	7.20	NA	NA	289	1	US/inquire	150	150	548									
Singular Genomics G4 F2 4fcell Standard	600-650	PE150*	0.79	15	200	253	NA	45.00	16.00	1600-4500	350	NA	US/inquire	NA	NA	#VALUE!	NA								
Singular Genomics G4 F2 4fcell Max Read	4000	50	1.00	180	200	200	NA	45.00	16.00	NA	350	NA	US/inquire	NA	NA	#VALUE!	NA								
Singular Genomics G4 F3 4fcell (late 2022)	1200-1320	PE150*	0.79	15	400	505	720-1140	16.00	8.00	800-1600	350	2	US/inquire	505	1,011	1844	NA								
Singular Genomics Systems PX (2023)	NA	PE150*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023?	NA	NA	NA	NA								
PACB 8M Sequel II/IIe v2.0 chem 1 flowcell	4	45K-185K**	1.00	30	180	25-650	1300	43.30	7.20	3897-648	525	577	worldwide	650	375,050	150-2500	NA					NA	PACB 8M Sequel II/IIe v2.0 chem 1 flowcell	45K-185K**	180
PACB SBB (2023H1)	NA	PE150*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	worldwide	NA	NA	NA	NA					NA	PACB SBB (2023H1)	PE150*	NA
PACB 64M chip R&D 1 flowcell (2023)	32	NA	NA	750	4500	NA	200	NA	NA	600-100	NA	0	2023?	16250	0	59313	NA					NA	PACB 64M chip R&D 1 flowcell (2023)	NA	4500
ONT Flongle 1fcell 126 channels	NA	20-2000000	0.70	1	2	1.3	67.5	90.00	22.50	8100-2700	1.5	0	worldwide	2	0	7	NA					NA	ONT Flongle 1fcell 126 channels	20-2000000	#REF!
